# {'COM3': {'sensor': ['-', '-', '-', '-', '-', '-'], 'device name': 'Device 1', 'column': ['nSeq', '1', '2', '3', '4', '5', '6'], 'start time': '"18:49:35.650057"', 'device connection': 'COM3', 'channels': [1, 2, 3, 4, 5, 6], 'date': '"2023-06-29"', 'device': 'scientisst_sense', 'resolution': [4, 12, 12, 12, 12, 12, 12], 'sampling rate': 1000, 'label': ['RAW', 'RAW', 'RAW', 'RAW', 'RAW', 'RAW']}}
nSeq	1	2	3	4	5	6
0	3755	570	742	753	3341	0
1	3756	571	742	752	3342	0
2	3760	572	743	753	3342	0
3	3755	568	742	753	3341	0
4	3755	571	742	755	3342	0
5	3758	570	745	755	3343	0
6	3755	569	742	753	3341	0
7	3757	568	741	754	3342	0
8	3756	569	740	753	3342	0
9	3755	571	741	752	3341	0
10	3757	570	744	753	3341	0
11	2870	569	745	753	3339	0
12	0	569	741	753	3339	0
13	0	569	741	752	3340	0
14	0	571	743	755	3339	0
15	0	569	747	753	3342	0
16	0	570	745	753	3340	0
17	0	567	742	753	3342	0
18	0	567	742	752	3342	0
19	0	567	742	755	3343	0
20	0	570	746	753	3344	0
21	49	569	745	753	3342	0
22	2662	567	746	752	3342	0
23	3756	566	742	753	3343	0
24	3755	565	741	753	3342	0
25	3756	566	743	752	3341	0
26	3755	567	743	752	3342	0
27	3756	565	742	753	3339	0
28	3755	567	743	752	3340	0
29	3756	567	742	753	3344	0
30	3756	569	743	752	3341	0
31	3755	567	743	752	3339	0
32	3757	569	745	752	3337	0
33	3075	569	743	752	3341	0
34	247	569	741	754	3340	0
35	0	569	741	754	3341	0
36	0	567	743	752	3341	0
37	0	567	744	754	3341	0
38	0	571	742	754	3344	0
39	0	570	743	753	3343	0
40	0	573	742	754	3340	0
41	0	571	743	753	3341	0
42	0	573	742	754	3341	0
43	1283	569	742	754	3339	0
44	3751	568	743	754	3340	0
45	3755	570	742	755	3339	0
46	3755	570	741	752	3341	0
47	3754	569	742	753	3343	0
48	3758	569	742	752	3341	0
49	3757	565	742	753	3342	0
50	3755	568	743	754	3343	0
51	3759	567	742	752	3341	0
52	3757	571	741	753	3341	0
53	3757	570	741	753	3337	0
54	3738	569	743	752	3343	0
55	1441	567	743	754	3342	0
56	0	566	742	753	3342	0
57	0	570	746	752	3343	0
58	0	571	743	753	3342	0
59	0	571	742	753	3338	0
60	0	572	742	754	3342	0
61	0	571	743	752	3341	0
62	0	571	743	754	3342	0
63	0	573	743	752	3343	0
64	0	570	741	754	3339	0
65	1293	570	742	753	3339	0
66	3750	569	743	752	3340	0
67	3755	570	742	753	3344	0
68	3755	568	741	753	3341	0
69	3757	570	746	753	3344	0
70	3755	567	743	752	3339	0
71	3754	566	741	752	3338	0
72	3755	570	742	753	3342	0
73	3756	567	743	752	3340	0
74	3757	570	739	752	3341	0
75	3489	570	743	753	3341	0
76	996	569	741	755	3342	0
77	0	569	744	752	3343	0
78	0	569	744	752	3341	0
79	0	571	745	753	3340	0
80	0	567	742	753	3343	0
81	0	569	740	753	3340	0
82	0	567	740	752	3342	0
83	0	569	745	752	3334	0
84	0	567	741	755	3343	0
85	0	572	742	752	3341	0
86	0	570	741	754	3343	0
87	0	567	742	753	3342	0
88	0	567	742	752	3342	0
89	0	571	746	755	3343	0
90	0	567	747	755	3343	0
91	0	567	742	753	3342	0
92	590	571	742	754	3340	0
93	3124	569	742	753	3338	0
94	3753	567	745	753	3339	0
95	3754	569	746	752	3341	0
96	3756	569	742	753	3340	0
97	3757	571	742	753	3343	0
98	3757	566	742	755	3343	0
99	3756	570	740	752	3339	0
100	3759	567	745	755	3339	0
101	3759	565	742	756	3344	0
102	3757	567	740	753	3338	0
103	3420	571	743	754	3342	0
104	795	569	741	752	3340	0
105	0	571	743	754	3339	0
106	0	570	743	754	3341	0
107	0	571	742	753	3341	0
108	0	568	745	752	3341	0
109	0	569	741	752	3340	0
110	0	569	742	753	3339	0
111	0	567	742	755	3340	0
112	0	570	741	752	3340	0
113	0	569	742	752	3338	0
114	0	570	743	753	3340	0
115	0	571	743	752	3341	0
116	181	570	741	753	3340	0
117	2886	565	743	752	3343	0
118	3753	566	741	752	3342	0
119	3755	567	742	752	3342	0
120	3755	569	742	752	3340	0
121	3755	569	742	752	3339	0
122	3759	570	742	755	3343	0
123	3755	570	743	752	3341	0
124	3756	569	743	752	3343	0
125	3758	569	743	752	3339	0
126	3755	567	743	752	3341	0
127	3759	573	741	754	3343	0
128	3757	569	741	753	3343	0
129	3759	569	743	755	3343	0
130	1520	569	747	754	3343	0
131	0	572	743	752	3344	0
132	0	567	743	754	3340	0
133	0	566	741	753	3339	0
134	0	570	746	752	3342	0
135	0	571	742	754	3342	0
136	0	571	742	752	3341	0
137	0	567	745	753	3339	0
138	0	568	742	752	3342	0
139	0	567	743	754	3341	0
140	54	571	743	753	3339	0
141	2659	570	743	753	3338	0
142	3755	571	742	752	3340	0
143	3755	570	743	753	3339	0
144	3757	568	746	752	3339	0
145	3758	570	745	752	3337	0
146	3754	568	741	755	3343	0
147	3753	570	744	752	3344	0
148	3757	570	743	753	3342	0
149	3756	568	741	752	3343	0
150	3754	569	743	753	3343	0
151	3753	567	743	753	3337	0
152	3759	566	743	754	3339	0
153	1935	569	742	753	3339	0
154	0	565	745	753	3342	0
155	0	571	745	753	3342	0
156	0	567	743	753	3341	0
157	0	571	743	752	3343	0
158	0	567	742	752	3339	0
159	0	569	743	753	3342	0
160	0	571	743	752	3342	0
161	0	571	742	753	3340	0
162	82	570	745	753	3341	0
163	2706	570	745	752	3341	0
164	3746	571	747	752	3339	0
165	3754	569	745	751	3337	0
166	3753	569	742	753	3341	0
167	3757	567	740	753	3341	0
168	3757	571	744	752	3339	0
169	3757	570	742	754	3343	0
170	3754	570	739	753	3343	0
171	3754	569	741	752	3342	0
172	3757	568	743	755	3342	0
173	3755	567	742	753	3341	0
174	3238	569	742	752	3340	0
175	551	570	743	753	3341	0
176	0	571	746	753	3340	0
177	0	572	744	753	3340	0
178	0	571	746	754	3343	0
179	0	573	742	752	3343	0
180	0	571	742	754	3342	0
181	0	567	743	752	3341	0
182	0	565	741	752	3339	0
183	0	566	742	753	3341	0
184	187	569	742	753	3339	0
185	2857	567	743	752	3344	0
186	3755	568	742	752	3341	0
187	3754	570	741	754	3341	0
188	3753	567	742	754	3342	0
189	3753	566	741	752	3342	0
190	3759	569	746	752	3341	0
191	3755	570	742	752	3338	0
192	3755	567	741	753	3339	0
193	3755	569	742	754	3335	0
194	3758	567	742	754	3341	0
195	3755	569	743	753	3341	0
196	1728	569	739	753	3342	0
197	0	567	742	754	3342	0
198	0	567	743	753	3341	0
199	0	569	741	755	3341	0
200	0	571	745	753	3340	0
201	0	569	742	753	3341	0
202	0	570	742	752	3341	0
203	0	569	745	753	3341	0
204	0	570	742	752	3338	0
205	0	567	743	753	3341	0
206	0	570	743	752	3344	0
207	0	566	743	754	3341	0
208	0	566	745	754	3340	0
209	0	567	740	753	3342	0
210	748	570	744	754	3341	0
211	3250	570	742	755	3340	0
212	3755	569	740	753	3337	0
213	3758	571	739	753	3339	0
214	3755	570	743	752	3338	0
215	3756	569	743	755	3339	0
216	3757	571	742	752	3339	0
217	3757	568	744	752	3343	0
218	3756	568	743	753	3342	0
219	3753	571	742	752	3341	0
220	3755	568	743	752	3340	0
221	3755	566	741	752	3339	0
222	3715	567	742	753	3340	0
223	1311	565	739	752	3340	0
224	0	567	743	753	3340	0
225	0	567	741	754	3343	0
226	0	569	743	753	3338	0
227	0	569	742	752	3339	0
228	0	567	741	753	3340	0
229	0	566	742	752	3341	0
230	0	566	742	754	3343	0
231	0	565	745	752	3338	0
232	0	570	745	753	3339	0
233	0	569	745	753	3339	0
234	0	567	742	752	3340	0
235	0	569	742	753	3339	0
236	1406	567	743	752	3341	0
237	3750	568	743	753	3339	0
238	3755	569	741	753	3344	0
239	3755	569	741	753	3342	0
240	3756	567	742	752	3339	0
241	3755	567	743	752	3338	0
242	3756	571	745	752	3338	0
243	3755	567	744	752	3340	0
244	3754	566	743	755	3340	0
245	3755	569	742	752	3339	0
246	3755	566	741	752	3337	0
247	3757	570	742	754	3339	0
248	3757	571	743	754	3341	0
249	2839	569	745	754	3339	0
250	0	569	743	754	3342	0
251	0	570	745	753	3339	0
252	0	567	742	752	3343	0
253	0	569	743	753	3338	0
254	0	570	743	754	3339	0
255	0	572	741	753	3339	0
256	0	566	745	752	3341	0
257	0	573	743	753	3341	0
258	0	574	741	752	3341	0
259	0	567	741	752	3343	0
260	759	570	741	755	3341	0
261	3728	571	742	754	3339	0
262	3757	569	743	753	3342	0
263	3757	569	743	753	3338	0
264	3753	570	746	753	3339	0
265	3755	567	741	753	3339	0
266	3755	567	741	752	3340	0
267	3755	569	742	752	3339	0
268	3754	571	744	755	3341	0
269	3754	569	742	753	3339	0
270	3755	570	743	754	3341	0
271	3754	569	740	753	3340	0
272	3642	571	743	755	3342	0
273	1165	570	741	752	3338	0
274	0	569	745	752	3339	0
275	0	566	742	754	3340	0
276	0	572	744	752	3349	0
277	0	569	740	752	3339	0
278	0	570	745	752	3340	0
279	0	567	743	754	3341	0
280	0	569	743	755	3341	0
281	0	569	744	753	3342	0
282	0	567	743	754	3339	0
283	2416	573	740	754	3341	0
284	3755	571	741	753	3342	0
285	3754	568	741	753	3339	0
286	3758	570	741	753	3341	0
287	3757	570	743	752	3342	0
288	3755	570	742	752	3340	0
289	3755	571	742	753	3342	0
290	3754	574	742	753	3339	0
291	3755	570	742	752	3341	0
292	3755	567	743	752	3339	0
293	3755	569	741	752	3342	0
294	3427	571	745	753	3338	0
295	839	570	742	753	3338	0
296	0	566	742	752	3341	0
297	0	566	743	754	3340	0
298	0	570	741	754	3340	0
299	0	569	744	752	3337	0
300	0	567	743	753	3342	0
301	0	569	742	753	3339	0
302	0	569	742	752	3338	0
303	0	566	742	752	3340	0
304	0	567	742	753	3341	0
305	2242	567	743	753	3342	0
306	3755	567	742	752	3341	0
307	3753	567	741	755	3341	0
308	3756	568	742	752	3341	0
309	3757	566	744	754	3341	0
310	3757	567	745	754	3338	0
311	3758	567	742	752	3341	0
312	3758	570	742	755	3342	0
313	3758	570	740	754	3339	0
314	3758	571	743	752	3339	0
315	3755	569	743	754	3339	0
316	1932	569	742	753	3343	0
317	0	569	741	752	3342	0
318	0	570	743	753	3343	0
319	0	567	743	752	3340	0
320	0	571	742	752	3341	0
321	0	568	742	752	3339	0
322	0	570	743	753	3338	0
323	0	569	742	752	3337	0
324	0	569	745	752	3343	0
325	0	567	742	753	3341	0
326	0	566	743	752	3341	0
327	0	567	742	755	3340	0
328	0	569	739	755	3333	0
329	0	570	745	751	3339	0
330	0	571	746	752	3341	0
331	0	569	742	752	3343	0
332	0	571	745	753	3339	0
333	1182	567	745	752	3339	0
334	3750	571	744	753	3343	0
