# {'COM3': {'sensor': ['-', '-', '-', '-', '-', '-'], 'device name': 'Device 1', 'column': ['nSeq', '1', '2', '3', '4', '5', '6'], 'start time': '"18:49:35.650057"', 'device connection': 'COM3', 'channels': [1, 2, 3, 4, 5, 6], 'date': '"2023-06-29"', 'device': 'scientisst_sense', 'resolution': [4, 12, 12, 12, 12, 12, 12], 'sampling rate': 1000, 'label': ['RAW', 'RAW', 'RAW', 'RAW', 'RAW', 'RAW']}}
nSeq	1	2	3	4	5	6
335	3754	569	742	753	3343	0
336	3757	571	743	752	3342	0
337	3755	569	743	755	3341	0
338	3755	570	742	752	3343	0
339	3751	570	742	755	3342	0
340	3754	570	742	753	3339	0
341	3754	571	743	752	3341	0
342	3756	569	742	752	3340	0
343	3758	566	742	752	3339	0
344	3514	569	741	754	3339	0
345	962	567	741	753	3339	0
346	0	567	739	753	3339	0
347	0	567	743	754	3339	0
348	0	571	743	754	3342	0
349	0	570	740	752	3341	0
350	0	572	743	753	3343	0
351	0	573	741	754	3341	0
352	0	571	747	752	3342	0
353	0	564	744	752	3341	0
354	0	569	741	754	3341	0
355	0	567	749	754	3341	0
356	0	569	745	752	3342	0
357	1052	570	742	753	3343	0
358	3750	570	741	753	3341	0
359	3755	567	743	753	3342	0
360	3755	572	744	754	3344	0
361	3758	567	745	752	3339	0
362	3759	567	743	753	3339	0
363	3755	569	743	752	3343	0
364	3757	566	743	752	3341	0
365	3754	571	743	752	3343	0
366	3754	570	742	753	3339	0
367	3757	567	742	752	3339	0
368	3758	569	743	752	3341	0
369	3758	571	743	752	3342	0
370	3289	571	744	752	3338	0
371	592	568	743	753	3343	0
372	0	567	743	753	3339	0
373	0	568	742	754	3341	0
374	0	571	741	752	3342	0
375	0	569	742	756	3341	0
376	0	570	743	754	3342	0
377	0	570	741	754	3340	0
378	0	567	741	754	3341	0
379	0	571	741	752	3341	0
380	0	569	743	752	3341	0
381	740	570	741	753	3341	0
382	3723	570	741	755	3341	0
383	3754	569	741	755	3338	0
384	3757	570	743	754	3341	0
385	3755	569	742	753	3339	0
386	3754	569	743	754	3341	0
387	3758	571	742	755	3339	0
388	3756	566	745	755	3341	0
389	3755	567	743	753	3343	0
390	3755	571	742	755	3342	0
391	3755	570	742	752	3343	0
392	3756	567	742	754	3338	0
393	2916	569	743	752	3339	0
394	0	569	744	753	3340	0
395	0	571	743	752	3338	0
396	0	570	744	753	3341	0
397	0	568	742	753	3343	0
398	0	567	743	752	3341	0
399	0	569	741	754	3344	0
400	0	570	741	755	3338	0
401	0	570	742	753	3341	0
402	0	567	745	753	3341	0
403	1232	569	743	752	3341	0
404	3752	568	744	752	3341	0
405	3755	570	743	753	3339	0
406	3757	571	742	753	3341	0
407	3757	569	746	755	3341	0
408	3756	572	742	752	3339	0
409	3756	566	741	755	3340	0
410	3753	567	744	755	3338	0
411	3757	566	741	753	3341	0
412	3759	570	744	752	3342	0
413	3754	568	741	753	3341	0
414	3759	569	741	755	3341	0
415	2329	571	741	753	3340	0
416	0	569	743	755	3341	0
417	0	571	744	753	3342	0
418	0	570	743	753	3341	0
419	0	568	741	752	3342	0
420	0	570	744	753	3340	0
421	0	567	742	753	3339	0
422	0	570	743	752	3339	0
423	0	567	743	753	3342	0
424	0	570	744	753	3341	0
425	112	572	744	754	3342	0
426	2650	569	743	753	3342	0
427	3754	569	743	753	3342	0
428	3755	567	743	754	3342	0
429	3755	568	742	755	3343	0
430	3755	569	741	755	3339	0
431	3757	571	743	753	3342	0
432	3758	567	742	752	3341	0
433	3755	570	743	752	3340	0
434	3755	570	741	754	3338	0
435	3754	571	742	739	3338	0
436	3318	569	745	752	3338	0
437	721	569	742	753	3341	0
438	0	567	741	754	3339	0
439	0	570	743	752	3339	0
440	0	571	742	753	3342	0
441	0	569	745	752	3341	0
442	0	571	742	752	3339	0
443	0	571	739	754	3339	0
444	0	573	742	752	3335	0
445	0	566	741	753	3339	0
446	0	569	745	752	3341	0
447	0	567	743	753	3341	0
448	0	567	743	754	3339	0
449	0	568	743	754	3343	0
450	0	571	746	754	3339	0
451	0	569	744	757	3343	0
452	0	566	745	754	3342	0
453	0	566	744	752	3342	0
454	627	569	743	752	3341	0
455	3488	570	743	752	3337	0
456	3759	567	742	752	3342	0
457	3757	568	741	754	3339	0
458	3753	569	744	752	3341	0
459	3757	567	744	752	3341	0
460	3755	570	743	753	3339	0
461	3753	569	744	754	3339	0
462	3754	568	742	753	3338	0
463	3754	566	742	752	3341	0
464	3759	569	739	753	3339	0
465	3757	567	741	754	3338	0
466	2112	571	742	753	3339	0
467	0	570	742	753	3338	0
468	0	567	741	753	3340	0
469	0	568	742	753	3339	0
470	0	570	743	752	3341	0
471	0	570	742	754	3339	0
472	0	570	742	752	3342	0
473	0	570	742	752	3341	0
474	0	570	741	752	3340	0
475	0	571	745	754	3340	0
476	0	566	742	754	3339	0
477	0	570	741	755	3341	0
478	2128	570	741	752	3343	0
479	3750	569	743	752	3339	0
480	3755	571	742	754	3340	0
481	3756	569	745	753	3339	0
482	3755	570	743	753	3340	0
483	3757	569	740	753	3341	0
484	3756	567	746	752	3341	0
485	3753	567	743	753	3342	0
486	3756	567	745	753	3339	0
487	3754	568	741	753	3343	0
488	3755	567	741	752	3339	0
489	3758	570	743	753	3341	0
490	3756	567	741	753	3341	0
491	1930	570	743	752	3341	0
492	0	566	742	759	3337	0
493	0	567	740	755	3349	0
494	0	569	742	752	3340	0
495	0	568	744	752	3338	0
496	0	567	743	752	3341	0
497	0	569	741	752	3338	0
498	0	567	744	754	3339	0
499	0	567	743	752	3341	0
500	0	567	743	753	3340	0
501	288	570	742	753	3339	0
502	3052	566	742	752	3338	0
503	3751	569	745	753	3338	0
504	3754	569	743	756	3338	0
505	3754	566	743	754	3337	0
506	3755	567	742	752	3341	0
507	3753	567	742	752	3341	0
508	3755	567	742	753	3338	0
509	3757	571	742	753	3340	0
510	3757	569	741	753	3341	0
511	3758	569	743	752	3338	0
512	3753	566	742	755	3339	0
513	3120	566	745	752	3339	0
514	317	569	741	752	3341	0
515	0	569	744	753	3341	0
516	0	570	742	753	3342	0
517	0	569	743	752	3342	0
518	0	567	743	753	3342	0
519	0	567	741	755	3341	0
520	0	569	742	754	3341	0
521	0	567	742	752	3338	0
522	0	570	743	752	3339	0
523	1200	569	742	755	3341	0
524	3751	571	743	752	3339	0
525	3751	572	742	753	3342	0
526	3756	566	741	752	3343	0
527	3755	570	742	752	3340	0
528	3753	569	743	753	3341	0
529	3755	567	742	753	3341	0
530	3753	571	743	753	3341	0
531	3757	568	741	752	3339	0
532	3757	567	743	752	3339	0
533	3758	566	741	752	3341	0
534	3755	567	742	752	3337	0
535	1958	569	742	754	3339	0
536	0	566	745	753	3339	0
537	0	569	741	752	3340	0
538	0	567	741	753	3341	0
539	0	570	743	752	3343	0
540	0	572	742	754	3339	0
541	0	569	743	753	3340	0
542	0	569	742	752	3339	0
543	0	569	741	752	3342	0
544	0	570	743	752	3342	0
545	622	570	741	752	3337	0
546	3485	567	744	752	3339	0
547	3750	569	741	752	3338	0
548	3754	566	741	753	3337	0
549	3754	567	741	753	3341	0
550	3755	567	743	752	3337	0
551	3751	567	740	754	3337	0
552	3754	567	742	752	3338	0
553	3756	567	743	752	3338	0
554	3757	567	743	753	3337	0
555	3758	569	743	753	3340	0
556	2647	566	741	752	3342	0
557	0	571	740	752	3338	0
558	0	570	742	753	3339	0
559	0	569	742	754	3339	0
560	0	571	742	753	3341	0
561	0	570	740	752	3341	0
562	0	569	741	755	3338	0
563	0	569	743	753	3339	0
564	0	569	741	754	3340	0
565	0	570	741	755	3340	0
566	0	566	743	753	3341	0
567	0	568	742	752	3339	0
568	0	569	742	752	3341	0
569	0	569	742	752	3339	0
570	0	567	742	753	3338	0
571	0	573	741	752	3340	0
572	0	567	742	753	3339	0
573	1746	571	742	754	3340	0
574	3754	570	739	752	3338	0
575	3757	569	745	753	3339	0
576	3756	569	742	753	3342	0
577	3755	569	742	753	3341	0
578	3755	567	742	754	3339	0
579	3757	570	742	753	3344	0
580	3755	566	742	754	3338	0
581	3753	567	743	752	3342	0
582	3755	567	742	752	3338	0
583	3757	571	743	754	3340	0
584	2839	569	743	752	3340	0
585	0	567	743	754	3342	0
586	0	569	742	753	3342	0
587	0	573	742	756	3340	0
588	0	571	739	753	3342	0
589	0	567	741	754	3338	0
590	0	571	726	755	3341	0
591	0	569	742	752	3339	0
592	0	569	742	752	3334	0
593	0	567	744	753	3337	0
594	0	568	742	752	3338	0
595	0	572	745	754	3339	0
596	0	567	742	752	3341	0
597	1239	569	744	752	3339	0
598	3750	569	743	752	3341	0
599	3757	571	742	752	3339	0
600	3755	568	746	752	3340	0
601	3754	570	742	752	3338	0
602	3755	569	742	752	3337	0
603	3753	569	741	753	3337	0
604	3754	567	741	752	3337	0
605	3756	571	743	752	3335	0
606	3753	566	745	752	3343	0
607	3755	567	739	752	3339	0
608	3754	567	743	752	3338	0
609	3755	567	741	752	3341	0
610	2994	565	743	753	3342	0
611	144	567	741	752	3338	0
612	0	570	741	752	3337	0
613	0	567	743	754	3337	0
614	0	567	741	752	3337	0
615	0	567	743	753	3341	0
616	0	569	741	753	3341	0
617	0	567	742	752	3339	0
618	0	567	744	752	3339	0
619	0	566	742	753	3342	0
620	0	569	743	755	3339	0
621	1078	571	741	753	3337	0
622	3750	570	746	752	3340	0
623	3755	570	745	753	3339	0
624	3756	565	742	752	3340	0
625	3755	570	743	752	3338	0
626	3755	566	741	752	3335	0
627	3755	570	741	752	3338	0
628	3755	568	743	754	3339	0
629	3753	570	742	752	3342	0
630	3754	567	742	753	3338	0
631	3757	568	743	753	3338	0
632	3758	567	741	752	3338	0
633	2599	569	741	752	3338	0
634	0	571	743	753	3343	0
635	0	568	744	753	3338	0
636	0	567	743	754	3339	0
637	0	569	742	752	3339	0
638	0	569	742	752	3339	0
639	0	569	742	752	3344	0
640	0	569	743	752	3339	0
641	0	569	742	754	3342	0
642	0	567	744	753	3339	0
643	1088	569	742	754	3338	0
644	3750	567	743	753	3338	0
645	3755	566	743	752	3335	0
646	3755	567	743	753	3342	0
647	3756	568	742	753	3341	0
648	3751	570	743	752	3338	0
649	3758	569	741	752	3341	0
650	3755	566	742	753	3341	0
651	3753	567	741	753	3338	0
652	3755	565	742	752	3342	0
653	3757	569	739	752	3339	0
654	3755	570	741	753	3339	0
655	2353	566	742	752	3338	0
656	0	566	741	752	3319	0
657	0	570	741	753	3339	0
658	0	570	741	752	3343	0
659	0	571	742	752	3339	0
660	0	570	743	755	3344	0
661	0	571	743	753	3342	0
662	0	567	742	752	3339	0
663	0	570	741	752	3343	0
664	0	570	741	752	3340	0
665	0	565	743	754	3339	0
666	2306	570	742	752	3341	0
667	3751	567	743	752	3342	0
668	3754	566	746	753	3341	0
669	3755	563	742	752	3340	0
670	3755	570	742	753	3339	0
671	3757	570	741	753	3339	0
672	3760	566	742	753	3339	0
673	3758	568	742	754	3342	0
674	3756	567	742	752	3342	0
675	3756	567	742	753	3340	0
676	3492	566	745	752	3339	0
677	983	569	742	752	3341	0
678	0	567	743	753	3344	0
679	0	571	744	752	3341	0
680	0	568	744	752	3343	0
681	0	567	742	752	3340	0
682	0	566	745	752	3340	0
683	0	567	742	754	3343	0
684	0	568	742	752	3339	0
685	0	571	742	753	3340	0
686	0	570	742	752	3339	0
687	0	568	743	753	3341	0
688	0	567	742	755	3339	0
689	0	571	745	754	3341	0
690	0	570	742	755	3338	0
691	0	571	743	752	3338	0
692	0	571	742	755	3339	0
693	0	567	742	752	3339	0
694	0	569	743	753	3339	0
695	0	570	741	753	3339	0
696	2442	566	742	753	3342	0
697	3755	570	741	752	3341	0
698	3755	570	742	752	3341	0
699	3756	567	740	755	3341	0
700	3755	567	742	752	3341	0
701	3757	570	743	754	3338	0
702	3756	570	746	753	3341	0
703	3756	569	743	752	3339	0
704	3754	570	742	752	3339	0
705	3756	571	741	752	3339	0
706	3759	567	743	752	3341	0
707	3597	570	743	753	3339	0
708	1090	566	742	754	3343	0
709	0	570	743	752	3341	0
710	0	571	741	754	3342	0
711	0	571	742	753	3341	0
712	0	568	741	754	3338	0
713	0	569	742	754	3337	0
714	0	569	743	753	3340	0
715	0	569	743	754	3338	0
716	0	567	743	752	3343	0
717	0	567	743	753	3343	0
718	0	570	742	752	3339	0
719	2008	570	742	755	3343	0
720	3754	569	741	753	3338	0
721	3754	570	743	752	3343	0
722	3756	565	742	752	3339	0
723	3753	566	743	754	3340	0
724	3757	569	742	752	3341	0
725	3755	569	741	754	3337	0
726	3754	569	742	753	3339	0
727	3754	569	738	752	3341	0
728	3755	566	742	753	3340	0
729	3755	567	739	753	3341	0
730	3757	570	745	753	3341	0
731	3759	570	742	752	3342	0
732	1456	569	739	754	3339	0
733	0	567	743	752	3342	0
734	0	566	742	757	3342	0
735	0	570	743	752	3342	0
736	0	567	741	753	3341	0
737	0	569	742	752	3341	0
738	0	566	746	753	3339	0
739	0	566	741	752	3341	0
740	0	567	744	753	3338	0
741	0	568	745	752	3341	0
742	1497	567	741	753	3339	0
743	3751	571	743	752	3341	0
744	3751	570	739	754	3339	0
745	3754	568	743	752	3342	0
746	3756	571	743	752	3339	0
747	3753	567	739	753	3342	0
748	3755	567	743	752	3341	0
749	3753	567	743	752	3341	0
750	3757	570	743	753	3340	0
751	3755	567	745	752	3342	0
752	3755	565	742	752	3343	0
753	3755	566	743	753	3342	0
754	1390	567	741	753	3339	0
755	0	569	742	752	3341	0
756	0	570	741	753	3339	0
757	0	568	742	752	3342	0
758	0	569	741	752	3339	0
759	0	566	740	754	3341	0
760	0	571	741	753	3339	0
761	0	570	742	755	3339	0
762	0	569	742	753	3340	0
763	149	567	743	752	3342	0
764	2835	571	740	752	3342	0
765	3754	567	741	754	3342	0
766	3755	569	743	752	3339	0
767	3755	569	743	755	3341	0
768	3758	567	745	753	3342	0
769	3755	569	741	755	3342	0
770	3755	566	743	753	3341	0
771	3755	566	743	752	3339	0
772	3755	571	743	754	3339	0
773	3758	570	742	753	3339	0
774	3758	570	742	753	3341	0
775	2262	571	741	754	3342	0
776	0	567	741	754	3341	0
777	0	566	743	754	3342	0
778	0	567	743	752	3341	0
779	0	571	742	755	3341	0
780	0	569	742	752	3341	0
781	0	570	742	753	3342	0
782	0	569	741	753	3340	0
783	0	569	743	753	3339	0
784	0	565	742	753	3335	0
785	0	570	743	755	3341	0
786	897	569	743	756	3343	0
787	3728	571	742	752	3338	0
788	3754	569	742	752	3338	0
789	3754	569	743	752	3344	0
790	3754	570	743	752	3341	0
791	3758	567	744	752	3339	0
792	3756	568	746	752	3341	0
793	3755	572	743	754	3340	0
794	3755	573	745	754	3341	0
795	3757	569	741	754	3337	0
796	3553	570	744	754	3342	0
797	1116	569	743	753	3342	0
798	0	567	743	756	3341	0
799	0	576	743	753	3341	0
800	0	569	743	753	3339	0
801	0	568	742	753	3339	0
802	0	569	743	752	3341	0
803	0	569	744	754	3338	0
804	0	570	744	753	3338	0
805	0	566	743	753	3342	0
806	0	567	746	752	3341	0
807	0	565	742	754	3340	0
808	0	571	743	752	3342	0
809	0	571	743	752	3340	0
810	0	570	743	752	3341	0
811	0	570	741	752	3344	0
812	0	570	742	753	3342	0
813	0	569	742	754	3338	0
814	0	567	745	755	3341	0
815	0	569	743	755	3342	0
816	0	571	744	752	3341	0
817	1600	571	745	754	3342	0
818	3753	569	746	752	3343	0
819	3758	569	745	752	3340	0
820	3758	570	746	755	3338	0
821	3755	571	741	754	3343	0
822	3755	574	743	754	3341	0
823	3758	567	741	754	3340	0
824	3759	570	742	754	3340	0
825	3758	571	741	752	3341	0
826	3758	570	743	756	3338	0
827	3759	567	742	752	3339	0
828	3757	565	743	752	3342	0
829	2553	570	743	752	3344	0
830	0	566	745	753	3340	0
831	0	567	745	753	3341	0
832	0	568	743	753	3338	0
833	0	570	742	754	3340	0
834	0	567	742	755	3337	0
835	0	571	743	752	3339	0
836	0	569	741	754	3343	0
837	0	569	741	754	3339	0
838	0	569	742	754	3340	0
839	0	569	741	753	3341	0
840	2099	567	743	752	3341	0
841	3754	570	741	752	3337	0
842	3756	570	745	754	3341	0
843	3757	568	741	752	3338	0
844	3755	570	743	753	3339	0
845	3754	567	742	755	3341	0
846	3755	570	742	753	3339	0
847	3754	569	743	754	3341	0
848	3757	566	741	752	3343	0
849	3755	568	741	754	3343	0
850	3755	566	741	754	3341	0
851	3755	571	741	752	3341	0
852	2912	569	740	755	3343	0
853	14	571	742	752	3341	0
854	0	570	744	752	3339	0
855	0	569	743	753	3342	0
856	0	570	743	753	3339	0
857	0	571	741	752	3342	0
858	0	567	743	755	3343	0
859	0	569	743	752	3342	0
860	0	570	741	753	3340	0
861	0	570	742	757	3339	0
862	1489	571	741	755	3341	0
863	3754	566	745	753	3341	0
864	3751	566	741	754	3340	0
865	3755	567	742	754	3340	0
866	3755	567	744	753	3339	0
867	3754	567	741	754	3340	0
